transaction_id,date,customer_id,amount,type,description
1,10/26/2020,926,6478.39,credit,Expect series shake art again our.
2,1/8/2020,466,1255.95,credit,Each left similar likely coach take.
3,,110,7969.68,debit,Direction wife job pull determine leader move college.
4,12/2/2020,142,2927.41,credit,Agree reveal buy black already.
5,12/2/2020,944,4661.88,debit,Child relationship show college whom speech.
6,4/25/2021,900,3649.68,credit,Century front item.
7,6/19/2020,458,504.24,credit,Market cover loss hotel send.
8,9/8/2022,573,8088.01,credit,Trouble reason speak involve.
9,1/30/2022,950,3006.3,credit,Popular three war arm best.
10,8/20/2020,728,1008.62,credit,Old see watch no.
11,12/9/2019,908,abc,debit,Million explain rule boy agree can.
12,1/18/2019,585,405.19,debit,Us save attention interest country short.
13,4/15/2018,227,5938.56,credit,Media organization structure their cut not where few.
14,6/6/2019,565,3516.95,debit,Available smile make star majority.
15,1/17/2022,818,9454.59,credit,Fund house head course around strategy lead.
16,12/8/2020,751,3415.26,credit,Main few character air.
17,6/5/2021,658,9751.08,transfer,Listen operation enough those society open.
18,5/23/2022,296,1676.77,transfer,Property strategy represent that.
19,1/25/2020,681,5159.9,debit,Soldier green age much sound write chair.
20,2/19/2020,33,6018.28,debit,What single suggest now stop.
21,05/24/2025,542,165.03,credit,test transaction
